6:00:00,6:30:00,8/8/2011,Paid Program,,,0:30,,,,,
6:30:00,7:00:00,8/8/2011,Paid Program,,,0:30,,,,,
7:00:00,7:30:00,8/8/2011,Paid Program,,,0:30,,,,,
7:30:00,8:00:00,8/8/2011,Paid Program,,,0:30,,,,,
8:00:00,9:00:00,8/8/2011,Fame,Sheer Will,"When the kids discover that Danny has leukemia, Doris makes her biggest effort to convince Danny to listen to his doctor and fight the desease. Lydia decides to show the kids how to make a non-dancer look good in a dance number.",1:00,,,,,FAM317
9:00:00,9:30:00,8/8/2011,Cristina's Court,Haack v Nass,,0:30,,,,,CC3CC071
9:30:00,10:00:00,8/8/2011,Cristina's Court,Lashlee v Tyler,,0:30,,,,,CC3CC072
10:00:00,11:00:00,8/8/2011,Model Latina,Model Exposure,"It’s the opportunity of a lifetime! The models write, direct, style, and star in their very own Verizon Wireless billboard. The winners will see their faces on the streets of Miami.",1:00,,,,,ML207R
11:00:00,12:00:00,8/8/2011,Model Latina,Seaside Strut,Competition heats up with a seaside fashion show for island lovers Liza & Tara and their Resort Wear line. Only one of the ladies will book the job.,1:00,,,,,ML208R
12:00:00,12:30:00,8/8/2011,Breakfast Lunch and Dinner,"Once a Stripper, Always a Ho","Do strippers and adult film stars permanently damage their reputations, or can they go mainstream?  Celebrity Guests: Carlos Mencia; Gina Lynn",0:30,,,,,BLD303R
12:30:00,13:00:00,8/8/2011,Breakfast Lunch and Dinner,Too Much Bling?,Has the current generation become too materialistic and feel entitled to get the stuff without the hard work? Celebrity Guests: Mellow Man Ace; Reagan Gomez-Preston,0:30,,,,,BLD304R
13:00:00,14:00:00,8/8/2011,Model Latina,Model Exposure,"It’s the opportunity of a lifetime! The models write, direct, style, and star in their very own Verizon Wireless billboard. The winners will see their faces on the streets of Miami.",1:00,,,,,ML207R
14:00:00,15:00:00,8/8/2011,Model Latina,Seaside Strut,Competition heats up with a seaside fashion show for island lovers Liza & Tara and their Resort Wear line. Only one of the ladies will book the job.,1:00,,,,,ML208R
15:00:00,16:00:00,8/8/2011,Miami Ink,Nothing Lasts Forever,"Ami and Nunez try and find a balance between working days at the shop and nights at their new bar.  Unfortunately, Nunez enjoys working the bar a little too much and his irresponsible behavior pushes Ami to the edge.",1:00,,,,,MI307
16:00:00,17:00:00,8/8/2011,Fame,Sheer Will,"When the kids discover that Danny has leukemia, Doris makes her biggest effort to convince Danny to listen to his doctor and fight the desease. Lydia decides to show the kids how to make a non-dancer look good in a dance number.",1:00,,,,,FAM317
17:00:00,17:30:00,8/8/2011,Cristina's Court,Haack v Nass,,0:30,,,,,CC3CC071
17:30:00,18:00:00,8/8/2011,Cristina's Court,Lashlee v Tyler,,0:30,,,,,CC3CC072
18:00:00,19:00:00,8/8/2011,Miami Ink,Nothing Lasts Forever,"Ami and Nunez try and find a balance between working days at the shop and nights at their new bar.  Unfortunately, Nunez enjoys working the bar a little too much and his irresponsible behavior pushes Ami to the edge.",1:00,,,,,MI307
19:00:00,20:00:00,8/8/2011,Miami Ink,No Regrets,Nunez and Ami's partnership has reached the breaking point and the boys need to decide if they're better off as friends.  Garver takes on Simone's elaborate peacock tattoo while Darren gives a 300 lb woman a voluptuous pin up girl tattoo on her back,1:00,,,,,MI308
20:00:00,20:30:00,8/8/2011,In Living Color,Basic Instank,,0:30,,,,,ILC402
20:30:00,21:00:00,8/8/2011,In Living Color,Mr and Mrs. Brooks,,0:30,,,,,ILC403
21:00:00,22:00:00,8/8/2011,Model Latina,Fab Fuerza Girls,"Before they reach the finale, the girls need to get through one more hardcore challenge. This time they’re taking the Fuerza stage and battling giant treadmills, high winds, confetti and more! It may not sound sexy, but wait ‘til you see the final photo!",1:00,,,,,ML312R
22:00:00,23:00:00,8/8/2011,Model Latina,Runway Showdown,"It all comes down to this! We’ve put our models through tons of wild challenges, but in the end, fashion is king! Dominican designer Hernan Lander is bringing out the couture as the girls hit the final catwalk and we pick our next Model Latina!",1:00,,,,,ML313R
23:00:00,23:30:00,8/8/2011,In Living Color,Basic Instank,,0:30,,,,,ILC402
23:30:00,0:00:00,8/8/2011,In Living Color,Mr and Mrs. Brooks,,0:30,,,,,ILC403
0:00:00,1:00:00,8/8/2011,Model Latina,Fab Fuerza Girls,"Before they reach the finale, the girls need to get through one more hardcore challenge. This time they’re taking the Fuerza stage and battling giant treadmills, high winds, confetti and more! It may not sound sexy, but wait ‘til you see the final photo!",1:00,,,,,ML312R
1:00:00,2:00:00,8/8/2011,Model Latina,Runway Showdown,"It all comes down to this! We’ve put our models through tons of wild challenges, but in the end, fashion is king! Dominican designer Hernan Lander is bringing out the couture as the girls hit the final catwalk and we pick our next Model Latina!",1:00,,,,,ML313R
2:00:00,3:00:00,8/8/2011,Miami Ink,No Regrets,Nunez and Ami's partnership has reached the breaking point and the boys need to decide if they're better off as friends.  Garver takes on Simone's elaborate peacock tattoo while Darren gives a 300 lb woman a voluptuous pin up girl tattoo on her back,1:00,,,,,MI308
3:00:00,3:30:00,8/8/2011,Latino 101,Holidays 101,"It's time for Turkeys, Tacos, and trrrrouble! Get educated on all of those holidays we still don’t quite understand. Why do Latinos always end up working on Labor Day? Plus, Cesar Chavez Day conspiracies, and tons more!",0:30,,,,,LAT205R
3:30:00,4:00:00,8/8/2011,Latino 101,Latin Filmology,"Grab your nacho tray -- it's MOVIE time! We’re breaking down why Edward James Olmos is the coolest ese, why no one caught Chasing Papi and figuring out why most movies require the Latino lead to die... 'No, Not Richie, Not My Ritchie!'",0:30,,,,,LAT206R2
4:00:00,4:30:00,8/8/2011,Paid Program,,,0:30,,,,,
4:30:00,5:00:00,8/8/2011,Paid Program,,,0:30,,,,,
5:00:00,5:30:00,8/8/2011,Paid Program,,,0:30,,,,,
5:30:00,6:00:00,8/8/2011,Paid Program,,,0:30,,,,,
6:00:00,6:30:00,8/9/2011,Paid Program,,,0:30,,,,,
6:30:00,7:00:00,8/9/2011,Paid Program,,,0:30,,,,,
7:00:00,7:30:00,8/9/2011,Paid Program,,,0:30,,,,,
7:30:00,8:00:00,8/9/2011,Paid Program,,,0:30,,,,,
8:00:00,9:00:00,8/9/2011,Fame,Catch A Falling Star,Leroy teams up with Professor David Reardon for to rehabilitate a once a top night club performer. Doris goes through a whole makeover to impress a new crush.,1:00,,,,,FAM318
9:00:00,9:30:00,8/9/2011,Cristina's Court,Valenzueal v Yarborough,,0:30,,,,,CC3CC073
9:30:00,10:00:00,8/9/2011,Cristina's Court,Smyers v Medal,,0:30,,,,,CC3CC074
10:00:00,11:00:00,8/9/2011,Model Latina,Fab Fuerza Girls,"Before they reach the finale, the girls need to get through one more hardcore challenge. This time they’re taking the Fuerza stage and battling giant treadmills, high winds, confetti and more! It may not sound sexy, but wait ‘til you see the final photo!",1:00,,,,,ML312R
11:00:00,12:00:00,8/9/2011,Model Latina,Runway Showdown,"It all comes down to this! We’ve put our models through tons of wild challenges, but in the end, fashion is king! Dominican designer Hernan Lander is bringing out the couture as the girls hit the final catwalk and we pick our next Model Latina!",1:00,,,,,ML313R
12:00:00,12:30:00,8/9/2011,Styleyes,Art and Culture Miami,,0:30,Variety,,"Fashion,Magazine,Variety","Fashion,Magazine,Variety",SE314R
12:30:00,13:00:00,8/9/2011,Styleyes,Summer Style Female,Stephanie finds hot shoes and Kelly checks out lingerie.,0:30,Variety,,"Fashion,Magazine,Variety","Fashion,Magazine,Variety",SE202R4
13:00:00,14:00:00,8/9/2011,Model Latina,Fab Fuerza Girls,"Before they reach the finale, the girls need to get through one more hardcore challenge. This time they’re taking the Fuerza stage and battling giant treadmills, high winds, confetti and more! It may not sound sexy, but wait ‘til you see the final photo!",1:00,,,,,ML312R
14:00:00,15:00:00,8/9/2011,Model Latina,Runway Showdown,"It all comes down to this! We’ve put our models through tons of wild challenges, but in the end, fashion is king! Dominican designer Hernan Lander is bringing out the couture as the girls hit the final catwalk and we pick our next Model Latina!",1:00,,,,,ML313R
15:00:00,16:00:00,8/9/2011,Miami Ink,Ami's Anger,"With the stress of finding Kat's replacement, running the shop and managing the bar bearing down on him, Ami's having a tough time controlling his temper.Yoji almost loses it when he rubs off a stencil for a Koi he's working on.",1:00,,,,,MI309
16:00:00,17:00:00,8/9/2011,Fame,Catch A Falling Star,Leroy teams up with Professor David Reardon for to rehabilitate a once a top night club performer. Doris goes through a whole makeover to impress a new crush.,1:00,,,,,FAM318
17:00:00,17:30:00,8/9/2011,Cristina's Court,Valenzueal v Yarborough,,0:30,,,,,CC3CC073
17:30:00,18:00:00,8/9/2011,Cristina's Court,Smyers v Medal,,0:30,,,,,CC3CC074
18:00:00,19:00:00,8/9/2011,Miami Ink,Ami's Anger,"With the stress of finding Kat's replacement, running the shop and managing the bar bearing down on him, Ami's having a tough time controlling his temper.Yoji almost loses it when he rubs off a stencil for a Koi he's working on.",1:00,,,,,MI309
19:00:00,20:00:00,8/9/2011,Miami Ink,Skate or Die!,"Yoji's been bulking up with workouts and weight gainer to combat Ami's bullying. And when mixed martial arts fighter, Paul Buentello offers to help him train, Yoji's in for a serious beat down in the ring",1:00,,,,,MI310
20:00:00,20:30:00,8/9/2011,In Living Color,Black People Awards,,0:30,,,,,ILC404
20:30:00,21:00:00,8/9/2011,In Living Color,Trail Mix-a-Lot,,0:30,,,,,ILC405
