6:00:00,6:30:00,6/27/2011,Paid Program,,,0:30,,,,
6:30:00,7:00:00,6/27/2011,Paid Program,,,0:30,,,,
7:00:00,7:30:00,6/27/2011,Paid Program,,,0:30,,,,
7:30:00,8:00:00,6/27/2011,Paid Program,,,0:30,,,,
8:00:00,9:00:00,6/27/2011,Drop Classics,Jai Rodriquez (Styleyes); Musical Guest Mike Jones; Dance Battle,,1:00,Music,,,Music
9:00:00,9:30:00,6/27/2011,Cristina's Court,Ecklund v Rains,,0:30,,,,
9:30:00,10:00:00,6/27/2011,Cristina's Court,Arrendono v Merriman,,0:30,,,,
10:00:00,11:00:00,6/27/2011,Latino Laugh Festival:The Show,"Stand up Comedy: Luke Torres, Brandon Scott, Sheila Rivera, James Connolly, Alonzo Bodden",,1:00,Comedy,,Comedy,Comedy
11:00:00,11:30:00,6/27/2011,American Latino,,"Host Valery Ortiz presents the cast of The Perfect Game (Cheech Marin, Clifton Collins Jr.),  former RBD member Christian Chavez, as he embarks on a solo career; Visit Soy Fashionista, a website developed by Latinas for Latinas; author Victor Villaseñor talks about his best-selling novels.",0:30,,,,
11:30:00,12:00:00,6/27/2011,LatiNation,,"Desi and Jose with international medium A.J. Barrera; radio show, Radio Arte; Taking steps to improve the lives of at-risk youth is The Wooden Floor; Eman and Boy Flores are bringing BMX to the streets of East L.A.; and metal musician, Dino Cazares.",0:30,,,,
12:00:00,12:30:00,6/27/2011,Adrenalina,BMX Peru,Windsurfer Pablo Lanatta and pro surfer Zalman Lekach showcase extreme sports from Latin America and other exotic locations around the globe.,0:30,,,,
12:30:00,13:00:00,6/27/2011,Adrenalina,Surf Ecuador,Windsurfer Pablo Lanatta and pro surfer Zalman Lekach showcase extreme sports from Latin America and other exotic locations around the globe.,0:30,,,,
13:00:00,13:30:00,6/27/2011,Breakfast Lunch and Dinner,Too Much Bling?,Has the current generation become too materialistic and feel entitled to get the stuff without the hard work? Celebrity Guests: Mellow Man Ace; Reagan Gomez-Preston,0:30,,,,
13:30:00,14:00:00,6/27/2011,Styleyes,Alternatives,Stephanie learns to box at Gleason's Gym and meets a surprise opponent.,0:30,Variety,,"Fashion,Magazine,Variety",Variety
14:00:00,15:00:00,6/27/2011,Model Latina,Model Retake,"It’s been one helluva season for Model Latina! Before we get down to the final cliffhangers, take a peek at the highs and lows of the girls’ NYC adventures. Commercial shoots, big city clubs, bikini challenges, and more!",1:00,,,,
15:00:00,16:00:00,6/27/2011,Model Latina,Fab Fuerza Girls,"Before they reach the finale, the girls need to get through one more hardcore challenge. This time they’re taking the Fuerza stage and battling giant treadmills, high winds, confetti and more! It may not sound sexy, but wait ‘til you see the final photo!",1:00,,,,
16:00:00,16:30:00,6/27/2011,Adrenalina,Scared Skate,Belkys gets wake-skating trained by a 10-year-old prodigy in Louisiana,0:30
16:30:00,17:00:00,6/27/2011,Adrenalina,Home Sweet Home,Pablo shows Zalman and Belkys around extreme sports-friendly sunny San Diego.,0:30
17:00:00,18:00:00,6/27/2011,Fame,Childhood's End,"When Coco's (ERICA GIMPEL) grandmother dies, Coco feels guilt that she is able to go ahead with a performance and begins to deeply question her priorities.  So intent is Coco on coming to terms with her problem that it takes Professor Shorofsky (ALBERT HAGUE) to point out to her that she has already solved it without realizing it.",1:00
18:00:00,19:00:00,6/27/2011,Miami Ink,Goodbye Freedom,,1:00
