"06:00:00","06:30:00","08/01/2011","Paid Program","","","00:30","","","","",""
"06:30:00","07:00:00","08/01/2011","Paid Program","","","00:30","","","","",""
"07:00:00","07:30:00","08/01/2011","Paid Program","","","00:30","","","","",""
"07:30:00","08:00:00","08/01/2011","Paid Program","","","00:30","","","","",""
"08:00:00","09:00:00","08/01/2011","Fame","Appearances","Danny helps a girl become a performer, so she wouldn't be exported back to Soviet Union. Chris and Holly have to portrait lovers.","01:00","","","","","FAM312"
"09:00:00","09:30:00","08/01/2011","Cristina's Court","Gilmer v Pounds","","00:30","","","","","CC3CC061"
"09:30:00","10:00:00","08/01/2011","Cristina's Court","Zindell v Kitt","","00:30","","","","","CC3CC062"
"10:00:00","11:00:00","08/01/2011","Model Latina","Passion Play","See who portrays lust, envy and betrayal best in a shoot with Mr. Ladies’ Man himself, hot novela star Alfonso “Poncho” de Anda.","01:00","","","","","ML205R2"
"11:00:00","12:00:00","08/01/2011","Model Latina","Epic Models","The models put their creativity to the test—and must look their best—to create a professional brochure for Miami’s lavish Epic Hotel","01:00","","","","","ML206R"
"12:00:00","12:30:00","08/01/2011","Breakfast Lunch and Dinner","Celebrities Are Not Politicians","Do celebrities have the right to use their fame to influence politics? Celebrity Guests: Michael DeLorenzo; Lisa Vidal","00:30","","","","","BLD301R"
"12:30:00","13:00:00","08/01/2011","Breakfast Lunch and Dinner","It's Offensive, Not Artistic","Are tattoos and body piercings self expression or offensive?  Is graffiti vandalism or art? Celebrity Guests: Danny Trejo; Francis Capra","00:30","","","","","BLD302R"
"13:00:00","14:00:00","08/01/2011","Model Latina","Passion Play","See who portrays lust, envy and betrayal best in a shoot with Mr. Ladies’ Man himself, hot novela star Alfonso “Poncho” de Anda.","01:00","","","","","ML205R2"
"14:00:00","15:00:00","08/01/2011","Model Latina","Epic Models","The models put their creativity to the test—and must look their best—to create a professional brochure for Miami’s lavish Epic Hotel","01:00","","","","","ML206R"
"15:00:00","16:00:00","08/01/2011","Miami Ink","Kat and Oliver Quality Time","","01:00","","","","","MI227"
"16:00:00","17:00:00","08/01/2011","Fame","Appearances","Danny helps a girl become a performer, so she wouldn't be exported back to Soviet Union. Chris and Holly have to portrait lovers.","01:00","","","","","FAM312"
"17:00:00","17:30:00","08/01/2011","Cristina's Court","Gilmer v Pounds","","00:30","","","","","CC3CC061"
"17:30:00","18:00:00","08/01/2011","Cristina's Court","Zindell v Kitt","","00:30","","","","","CC3CC062"
"18:00:00","19:00:00","08/01/2011","Miami Ink","Kat and Oliver Quality Time","","01:00","","","","","MI227"
"19:00:00","20:00:00","08/01/2011","Miami Ink","Back To Their Roots","","01:00","","","","","MI228"
"20:00:00","20:30:00","08/01/2011","In Living Color","George Bush Meets Tommy Wu","","00:30","","","","","ILC317"
"20:30:00","21:00:00","08/01/2011","In Living Color","Hour of Power: Preachers on Trial","","00:30","","","","","ILC318"
"21:00:00","22:00:00","08/01/2011","Model Latina","Final 4 Fiesta","The pressure’s at an all-time high as the final four girls rev up for an automotive challenge. Each model must create an alter-ego for a sexy Ford Fiesta photo shoot. Which one will go the distance? And which one will storm off the set?!!","01:00","","","","","ML310R"
"22:00:00","23:00:00","08/01/2011","Model Latina","Model Retake","It’s been one helluva season for Model Latina! Before we get down to the final cliffhangers, take a peek at the highs and lows of the girls’ NYC adventures. Commercial shoots, big city clubs, bikini challenges, and more!","01:00","","","","","ML311R"
"23:00:00","23:30:00","08/01/2011","In Living Color","George Bush Meets Tommy Wu","","00:30","","","","","ILC317"
"23:30:00","00:00:00","08/01/2011","In Living Color","Hour of Power: Preachers on Trial","","00:30","","","","","ILC318"
"00:00:00","01:00:00","08/01/2011","Model Latina","Final 4 Fiesta","The pressure’s at an all-time high as the final four girls rev up for an automotive challenge. Each model must create an alter-ego for a sexy Ford Fiesta photo shoot. Which one will go the distance? And which one will storm off the set?!!","01:00","","","","","ML310R"
"01:00:00","02:00:00","08/01/2011","Model Latina","Model Retake","It’s been one helluva season for Model Latina! Before we get down to the final cliffhangers, take a peek at the highs and lows of the girls’ NYC adventures. Commercial shoots, big city clubs, bikini challenges, and more!","01:00","","","","","ML311R"
"02:00:00","03:00:00","08/01/2011","Miami Ink","Back To Their Roots","","01:00","","","","","MI228"
"03:00:00","03:30:00","08/01/2011","Latino 101","Advanced Studies","Ready for some advanced lessons? We’re exploring the historical Latino facts no one seems to remember, WTF is up with Arizona today, and future predictions of Lowriders in space!  Discover where we’ve been, where we are and where we think we’ll be.","00:30","","","","","LAT213R"
"03:30:00","04:00:00","08/01/2011","Latino 101","Women's Studies","Welcome to Ladies Night, it’s about to get real!  We reveal ladies’ room secrets, why childbirth is torture for our chicas and the real disadvantages of breast feeding in public.","00:30","","","","","LAT202R"
"04:00:00","04:30:00","08/01/2011","Paid Program","","","00:30","","","","",""
